opening L1_Training_out_with_lambda:0.001000.txt
starting
Loading model
Epoch 146: Train MSE is 0.970555 | Dev MSE is 1.022698
Epoch 147: Train MSE is 0.970550 | Dev MSE is 1.022699
Epoch 148: Train MSE is 0.970548 | Dev MSE is 1.022700
Epoch 149: Train MSE is 0.970552 | Dev MSE is 1.022700
Epoch 150: Train MSE is 0.970558 | Dev MSE is 1.022698
Epoch 151: Train MSE is 0.970554 | Dev MSE is 1.022698
Epoch 152: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 153: Train MSE is 0.970550 | Dev MSE is 1.022697
Epoch 154: Train MSE is 0.970564 | Dev MSE is 1.022699
Epoch 155: Train MSE is 0.970557 | Dev MSE is 1.022700
Epoch 156: Train MSE is 0.970558 | Dev MSE is 1.022698
Epoch 157: Train MSE is 0.970557 | Dev MSE is 1.022699
Epoch 158: Train MSE is 0.970552 | Dev MSE is 1.022700
Epoch 159: Train MSE is 0.970555 | Dev MSE is 1.022700
Epoch 160: Train MSE is 0.970565 | Dev MSE is 1.022698
Epoch 161: Train MSE is 0.970548 | Dev MSE is 1.022698
Epoch 162: Train MSE is 0.970552 | Dev MSE is 1.022699
Epoch 163: Train MSE is 0.970558 | Dev MSE is 1.022700
Epoch 164: Train MSE is 0.970554 | Dev MSE is 1.022698
Epoch 165: Train MSE is 0.970557 | Dev MSE is 1.022698
Epoch 166: Train MSE is 0.970558 | Dev MSE is 1.022699
Epoch 167: Train MSE is 0.970556 | Dev MSE is 1.022700
Epoch 168: Train MSE is 0.970561 | Dev MSE is 1.022700
Epoch 169: Train MSE is 0.970550 | Dev MSE is 1.022698
Epoch 170: Train MSE is 0.970561 | Dev MSE is 1.022699
Epoch 171: Train MSE is 0.970554 | Dev MSE is 1.022698
Epoch 172: Train MSE is 0.970556 | Dev MSE is 1.022699
Epoch 173: Train MSE is 0.970559 | Dev MSE is 1.022700
Epoch 174: Train MSE is 0.970549 | Dev MSE is 1.022698
Epoch 175: Train MSE is 0.970550 | Dev MSE is 1.022699
Epoch 176: Train MSE is 0.970558 | Dev MSE is 1.022699
Epoch 177: Train MSE is 0.970561 | Dev MSE is 1.022697
Epoch 178: Train MSE is 0.970551 | Dev MSE is 1.022698
Epoch 179: Train MSE is 0.970549 | Dev MSE is 1.022701
Epoch 180: Train MSE is 0.970556 | Dev MSE is 1.022699
Epoch 181: Train MSE is 0.970560 | Dev MSE is 1.022699
Epoch 182: Train MSE is 0.970555 | Dev MSE is 1.022698
Epoch 183: Train MSE is 0.970541 | Dev MSE is 1.022701
Epoch 184: Train MSE is 0.970552 | Dev MSE is 1.022697
Epoch 185: Train MSE is 0.970557 | Dev MSE is 1.022696
Epoch 186: Train MSE is 0.970553 | Dev MSE is 1.022700
Epoch 187: Train MSE is 0.970543 | Dev MSE is 1.022696
Epoch 188: Train MSE is 0.970551 | Dev MSE is 1.022697
Epoch 189: Train MSE is 0.970543 | Dev MSE is 1.022698
Epoch 190: Train MSE is 0.970550 | Dev MSE is 1.022700
Epoch 191: Train MSE is 0.970552 | Dev MSE is 1.022699
Epoch 192: Train MSE is 0.970561 | Dev MSE is 1.022699
Epoch 193: Train MSE is 0.970552 | Dev MSE is 1.022699
Epoch 194: Train MSE is 0.970551 | Dev MSE is 1.022699
Epoch 195: Train MSE is 0.970550 | Dev MSE is 1.022697
Epoch 196: Train MSE is 0.970560 | Dev MSE is 1.022700
Epoch 197: Train MSE is 0.970550 | Dev MSE is 1.022696
Epoch 198: Train MSE is 0.970559 | Dev MSE is 1.022699
Epoch 199: Train MSE is 0.970547 | Dev MSE is 1.022698
Epoch 200: Train MSE is 0.970562 | Dev MSE is 1.022699
Epoch 201: Train MSE is 0.970549 | Dev MSE is 1.022697
Epoch 202: Train MSE is 0.970554 | Dev MSE is 1.022702
Epoch 203: Train MSE is 0.970556 | Dev MSE is 1.022695
Epoch 204: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 205: Train MSE is 0.970556 | Dev MSE is 1.022697
Epoch 206: Train MSE is 0.970558 | Dev MSE is 1.022702
Epoch 207: Train MSE is 0.970555 | Dev MSE is 1.022698
Epoch 208: Train MSE is 0.970552 | Dev MSE is 1.022699
Epoch 209: Train MSE is 0.970557 | Dev MSE is 1.022699
Epoch 210: Train MSE is 0.970564 | Dev MSE is 1.022698
Epoch 211: Train MSE is 0.970560 | Dev MSE is 1.022701
Epoch 212: Train MSE is 0.970557 | Dev MSE is 1.022697
Epoch 213: Train MSE is 0.970552 | Dev MSE is 1.022698
Epoch 214: Train MSE is 0.970551 | Dev MSE is 1.022698
Epoch 215: Train MSE is 0.970559 | Dev MSE is 1.022698
Epoch 216: Train MSE is 0.970559 | Dev MSE is 1.022700
Epoch 217: Train MSE is 0.970551 | Dev MSE is 1.022695
Epoch 218: Train MSE is 0.970557 | Dev MSE is 1.022699
Epoch 219: Train MSE is 0.970548 | Dev MSE is 1.022696
Epoch 220: Train MSE is 0.970562 | Dev MSE is 1.022698
Epoch 221: Train MSE is 0.970555 | Dev MSE is 1.022696
Epoch 222: Train MSE is 0.970560 | Dev MSE is 1.022703
Epoch 223: Train MSE is 0.970550 | Dev MSE is 1.022697
Epoch 224: Train MSE is 0.970555 | Dev MSE is 1.022697
Epoch 225: Train MSE is 0.970557 | Dev MSE is 1.022696
Epoch 226: Train MSE is 0.970554 | Dev MSE is 1.022698
Epoch 227: Train MSE is 0.970554 | Dev MSE is 1.022698
Epoch 228: Train MSE is 0.970549 | Dev MSE is 1.022697
Epoch 229: Train MSE is 0.970552 | Dev MSE is 1.022700
Epoch 230: Train MSE is 0.970555 | Dev MSE is 1.022696
Epoch 231: Train MSE is 0.970558 | Dev MSE is 1.022701
Epoch 232: Train MSE is 0.970560 | Dev MSE is 1.022698
Epoch 233: Train MSE is 0.970557 | Dev MSE is 1.022698
Epoch 234: Train MSE is 0.970558 | Dev MSE is 1.022699
Epoch 235: Train MSE is 0.970557 | Dev MSE is 1.022697
Epoch 236: Train MSE is 0.970550 | Dev MSE is 1.022698
Epoch 237: Train MSE is 0.970563 | Dev MSE is 1.022698
Epoch 238: Train MSE is 0.970562 | Dev MSE is 1.022696
Epoch 239: Train MSE is 0.970549 | Dev MSE is 1.022698
Epoch 240: Train MSE is 0.970563 | Dev MSE is 1.022697
Epoch 241: Train MSE is 0.970564 | Dev MSE is 1.022699
Epoch 242: Train MSE is 0.970545 | Dev MSE is 1.022698
Epoch 243: Train MSE is 0.970558 | Dev MSE is 1.022700
Epoch 244: Train MSE is 0.970550 | Dev MSE is 1.022696
Epoch 245: Train MSE is 0.970555 | Dev MSE is 1.022699
Epoch 246: Train MSE is 0.970554 | Dev MSE is 1.022697
Epoch 247: Train MSE is 0.970549 | Dev MSE is 1.022698
Epoch 248: Train MSE is 0.970558 | Dev MSE is 1.022700
Epoch 249: Train MSE is 0.970560 | Dev MSE is 1.022696
Epoch 250: Train MSE is 0.970550 | Dev MSE is 1.022699
Epoch 251: Train MSE is 0.970555 | Dev MSE is 1.022700
Epoch 252: Train MSE is 0.970556 | Dev MSE is 1.022698
Epoch 253: Train MSE is 0.970550 | Dev MSE is 1.022697
Epoch 254: Train MSE is 0.970553 | Dev MSE is 1.022697
Epoch 255: Train MSE is 0.970557 | Dev MSE is 1.022700
Epoch 256: Train MSE is 0.970555 | Dev MSE is 1.022698
Epoch 257: Train MSE is 0.970552 | Dev MSE is 1.022697
Epoch 258: Train MSE is 0.970552 | Dev MSE is 1.022700
Epoch 259: Train MSE is 0.970554 | Dev MSE is 1.022698
Epoch 260: Train MSE is 0.970559 | Dev MSE is 1.022699
Epoch 261: Train MSE is 0.970554 | Dev MSE is 1.022696
Epoch 262: Train MSE is 0.970558 | Dev MSE is 1.022698
Epoch 263: Train MSE is 0.970552 | Dev MSE is 1.022700
Epoch 264: Train MSE is 0.970556 | Dev MSE is 1.022697
Epoch 265: Train MSE is 0.970553 | Dev MSE is 1.022697
Epoch 266: Train MSE is 0.970563 | Dev MSE is 1.022700
Epoch 267: Train MSE is 0.970551 | Dev MSE is 1.022698
Epoch 268: Train MSE is 0.970555 | Dev MSE is 1.022699
Epoch 269: Train MSE is 0.970553 | Dev MSE is 1.022699
Epoch 270: Train MSE is 0.970555 | Dev MSE is 1.022700
Epoch 271: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 272: Train MSE is 0.970557 | Dev MSE is 1.022700
Epoch 273: Train MSE is 0.970561 | Dev MSE is 1.022699
Epoch 274: Train MSE is 0.970553 | Dev MSE is 1.022698
Epoch 275: Train MSE is 0.970556 | Dev MSE is 1.022700
Epoch 276: Train MSE is 0.970551 | Dev MSE is 1.022697
