opening L1_reg_Training_out_with_lambda:10.000000.txt
starting
Loading model
Epoch 130: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 131: Train MSE is 0.996706 | Dev MSE is 1.030603
Epoch 132: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 133: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 134: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 135: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 136: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 137: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 138: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 139: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 140: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 141: Train MSE is 0.996706 | Dev MSE is 1.030600
Epoch 142: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 143: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 144: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 145: Train MSE is 0.996706 | Dev MSE is 1.030603
Epoch 146: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 147: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 148: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 149: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 150: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 151: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 152: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 153: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 154: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 155: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 156: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 157: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 158: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 159: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 160: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 161: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 162: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 163: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 164: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 165: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 166: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 167: Train MSE is 0.996706 | Dev MSE is 1.030602
