opening L1_Training_out_with_lambda:0.002000.txt
starting
Loading model
Epoch 220: Train MSE is 0.975570 | Dev MSE is 1.026590
Epoch 221: Train MSE is 0.975540 | Dev MSE is 1.026578
Epoch 222: Train MSE is 0.975548 | Dev MSE is 1.026600
Epoch 223: Train MSE is 0.975532 | Dev MSE is 1.026613
Epoch 224: Train MSE is 0.975515 | Dev MSE is 1.026587
Epoch 225: Train MSE is 0.975565 | Dev MSE is 1.026602
Epoch 226: Train MSE is 0.975552 | Dev MSE is 1.026612
Epoch 227: Train MSE is 0.975579 | Dev MSE is 1.026584
Epoch 228: Train MSE is 0.975552 | Dev MSE is 1.026592
Epoch 229: Train MSE is 0.975543 | Dev MSE is 1.026581
Epoch 230: Train MSE is 0.975526 | Dev MSE is 1.026597
Epoch 231: Train MSE is 0.975531 | Dev MSE is 1.026589
Epoch 232: Train MSE is 0.975556 | Dev MSE is 1.026597
Epoch 233: Train MSE is 0.975552 | Dev MSE is 1.026606
Epoch 234: Train MSE is 0.975547 | Dev MSE is 1.026599
Epoch 235: Train MSE is 0.975546 | Dev MSE is 1.026600
Epoch 236: Train MSE is 0.975572 | Dev MSE is 1.026607
Epoch 237: Train MSE is 0.975530 | Dev MSE is 1.026597
Epoch 238: Train MSE is 0.975566 | Dev MSE is 1.026590
Epoch 239: Train MSE is 0.975563 | Dev MSE is 1.026604
Epoch 240: Train MSE is 0.975583 | Dev MSE is 1.026621
Epoch 241: Train MSE is 0.975505 | Dev MSE is 1.026595
Epoch 242: Train MSE is 0.975607 | Dev MSE is 1.026604
Epoch 243: Train MSE is 0.975502 | Dev MSE is 1.026574
Epoch 244: Train MSE is 0.975542 | Dev MSE is 1.026593
Epoch 245: Train MSE is 0.975561 | Dev MSE is 1.026600
Epoch 246: Train MSE is 0.975559 | Dev MSE is 1.026600
Epoch 247: Train MSE is 0.975567 | Dev MSE is 1.026591
Epoch 248: Train MSE is 0.975530 | Dev MSE is 1.026602
Epoch 249: Train MSE is 0.975627 | Dev MSE is 1.026596
Epoch 250: Train MSE is 0.975537 | Dev MSE is 1.026602
Epoch 251: Train MSE is 0.975529 | Dev MSE is 1.026581
Epoch 252: Train MSE is 0.975555 | Dev MSE is 1.026589
Epoch 253: Train MSE is 0.975535 | Dev MSE is 1.026590
Epoch 254: Train MSE is 0.975508 | Dev MSE is 1.026586
Epoch 255: Train MSE is 0.975548 | Dev MSE is 1.026613
Epoch 256: Train MSE is 0.975577 | Dev MSE is 1.026590
Epoch 257: Train MSE is 0.975479 | Dev MSE is 1.026602
Epoch 258: Train MSE is 0.975540 | Dev MSE is 1.026591
Epoch 259: Train MSE is 0.975535 | Dev MSE is 1.026596
Epoch 260: Train MSE is 0.975533 | Dev MSE is 1.026588
Epoch 261: Train MSE is 0.975559 | Dev MSE is 1.026613
Epoch 262: Train MSE is 0.975545 | Dev MSE is 1.026590
Epoch 263: Train MSE is 0.975561 | Dev MSE is 1.026601
Epoch 264: Train MSE is 0.975518 | Dev MSE is 1.026599
Epoch 265: Train MSE is 0.975558 | Dev MSE is 1.026613
Epoch 266: Train MSE is 0.975525 | Dev MSE is 1.026582
Epoch 267: Train MSE is 0.975552 | Dev MSE is 1.026605
Epoch 268: Train MSE is 0.975554 | Dev MSE is 1.026603
Epoch 269: Train MSE is 0.975524 | Dev MSE is 1.026587
Epoch 270: Train MSE is 0.975595 | Dev MSE is 1.026599
